Sex,(CIS-R) score,16-24,25-34,35-44,45-54,55-64,65-74,75+,All
Men,0 to 5,76.5,72.3,69.7,72.1,69.9,81.3,81.9,74
Men,6 to 11,14.4,12.5,15.2,14.7,15.2,11.5,12.8,13.9
Men,Under 12,90.9,84.7,84.9,86.8,85.1,92.7,94.7,87.8
Men,12 to 17,4.9,7.4,6.8,6.2,5.8,3.7,4.2,5.8
Men,18 or more,4.2,7.8,8.3,7,9.1,3.6,1.1,6.4
Men,12 or more,9.1,15.3,15.1,13.2,14.9,7.3,5.3,12.2
Women,0 to 5,57.3,60.4,63.2,58.6,62.8,72.3,74.6,63.5
Women,6 to 11,16.7,20.5,16.2,18.7,18.1,14.9,15.4,17.4
Women,Under 12,74,80.9,79.4,77.3,80.9,87.1,90,80.9
Women,12 to 17,10.9,10.5,9.4,10.2,9.8,8.1,5.1,9.3
Women,18 or more,15.1,8.6,11.2,12.5,9.3,4.8,4.9,9.8
Women,12 or more,26,19.1,20.6,22.7,19.1,12.9,10,19.1
All adults,0 to 5,67.1,66.3,66.4,65.3,66.3,76.6,77.6,68.6
All adults,6 to 11,15.5,16.5,15.7,16.7,16.7,13.2,14.3,15.7
All adults,Under 12,82.7,82.8,82.1,82,82.9,89.8,91.9,84.3
All adults,12 to 17,7.8,9,8.1,8.2,7.8,5.9,4.7,7.6
All adults,18 or more,9.5,8.2,9.8,9.8,9.2,4.2,3.3,8.1
All adults,12 or more,17.3,17.2,17.9,18,17.1,10.2,8.1,15.7
