Sex,CIS-R score,1993,2000,2007,2014
Men,0 to 5,74.0,71.3,73.2,72.1
Men,6 to 11,15.4,15.3,14.2,14.4
Men,Under 12,89.5,86.6,87.4,86.4
Men,12 to17,5.3,6.7,6.2,6.3
Men,18 or more,5.3,6.7,6.4,7.3
Men,12 or more,10.5,13.4,12.6,13.6
Women,0 to 5,59.9,60.8,60.1,60.5
Women,6 to 11,22.3,20.0,19.8,18.1
Women,Under 12,82.3,80.8,79.9,78.6
Women,12 to17,9.1,10.2,9.4,10.1
Women,18 or more,8.6,9.0,10.7,11.3
Women,12 or more,17.7,19.2,20.1,21.4
All adults,0 to 5,67.1,66.1,66.6,66.2
All adults,6 to 11,18.8,17.7,17.0,16.2
All adults,Under 12,85.9,83.7,83.6,82.5
All adults,12 to17,7.2,8.4,7.8,8.2
All adults,18 or more,6.9,7.9,8.5,9.3
All adults,12 or more,14.1,16.3,16.4,17.5
