Sex,CMD,All
Men,Generalised anxiety disorder,4.9
Men,Depressive episode,2.9
Men,Phobias,1.8
Men,Obsessive compulsive disorder,1.1
Men,Panic disorder,0.3
Men,CMD-NOS,5.8
Men,Any CMD,13.2
Women,Generalised anxiety disorder,6.8
Women,Depressive episode,3.7
Women,Phobias,3.0
Women,Obsessive compulsive disorder,1.5
Women,Panic disorder,0.8
Women,CMD-NOS,9.6
Women,Any CMD,20.7
All adults,Generalised anxiety disorder,5.9
All adults,Depressive episode,3.3
All adults,Phobias,2.4
All adults,Obsessive compulsive disorder,1.3
All adults,Panic disorder,0.6
All adults,CMD-NOS,7.8
All adults,Any CMD,17.0
